model,measure,signature,referenced_tables,dax_len
Act+Fcst by WNK & MILL Prod Resource,Act - Invoiced,"calculate(sum(col),col=str)",ActDemand,66
Act+Fcst by WNK & MILL Prod Resource,Act - Open Ord,"calculate(sum(col),col=str)",ActDemand,67
Act+Fcst by WNK & MILL Prod Resource,Fcast - Result,"calculate(sum(col),col=str)",Fcast,51
Act+Fcst by WNK & MILL Prod Resource,Fcast - Promo,"calculate(sum(col),col=str)",Fcast,49
Act+Fcst by WNK & MILL Prod Resource,Fcast - Total,meas+meas,,34
Act+Fcst by WNK & MILL Prod Resource,Act+Fcast,"calculate(sum(col),col<num)+(meas+meas)",ActDemand; z_FiscalCal,111
Act+Fcst by WNK & MILL Prod Resource,Act+Fcast Weekly Qty,"divide(meas,meas)",,40
Act+Fcst by WNK & MILL Prod Resource,FiscalWeeksinMonth,calculate(average(col)),z_FiscalCal,51
Act+Fcst by WNK & MILL Prod Resource,Prod Capacity,calculate(sum(col)),ProdCapacity,45
Act+Fcst by WNK & MILL Prod Resource,ETD Fcast,"calculate(sum(col),col=str,userelationship(col,col))+calculate(sum(col),col=str,userelationship(col,col))",Fcast; z_FiscalCal,239
Act+Fcst by WNK & MILL Prod Resource,Past Due Qty,"calculate(meas,col<num)",z_FiscalCal,64
Act+Fcst by WNK & MILL Prod Resource,FcstAverageWeekly,"divide(calculate(meas,and(col>num,col<=num)),num)",z_FiscalCal,114
Act+Fcst by WNK & MILL Prod Resource,Vendor Shipped,calculate(sum(col)),VendorShipped,42
Act+Fcst by WNK & MILL Prod Resource,ETA Vendor Shipped,"calculate(sum(col),userelationship(col,col))",VendorShipped; z_FiscalCal,119
Act+Fcst vs Manufacturing,Act - Invoiced,"calculate(sum(col),col=str)",ActDemand,66
Act+Fcst vs Manufacturing,Act - Open Ord,"calculate(sum(col),col=str)",ActDemand,67
Act+Fcst vs Manufacturing,Fcast - Result,"calculate(sum(col),col=str)",Fcast,51
Act+Fcst vs Manufacturing,Fcast - Promo,"calculate(sum(col),col=str)",Fcast,49
Act+Fcst vs Manufacturing,Fcast - Total,meas+meas,,34
Act+Fcst vs Manufacturing,Act+Fcast,"calculate(sum(col),col<num)+(meas+meas)",ActDemand; z_FiscalCal,111
Act+Fcst vs Manufacturing,Act+Fcast Weekly Qty,"divide(meas,meas)",,40
Act+Fcst vs Manufacturing,FiscalWeeksinMonth,calculate(average(col)),z_FiscalCal,51
Act+Fcst vs Manufacturing,Prod Capacity,calculate(sum(col)),ProdCapacity,45
Act+Fcst vs Manufacturing,ETD Fcast,"calculate(sum(col),col=str,userelationship(col,col))+calculate(sum(col),col=str,userelationship(col,col))",Fcast; z_FiscalCal,239
Act+Fcst vs Manufacturing,Past Due Qty,"calculate(meas,col<num)",z_FiscalCal,64
Act+Fcst vs Manufacturing,FcstAverageWeekly,"divide(calculate(meas,and(col>num,col<=num)),num)",z_FiscalCal,114
Act+Fcst vs Manufacturing,Vendor Shipped,calculate(sum(col)),VendorShipped,42
Act+Fcst vs Manufacturing,ETA Vendor Shipped,"calculate(sum(col),userelationship(col,col))",VendorShipped; z_FiscalCal,119
AFT_SI-SS_PSW,Demand Fulfill CO,"if((sum(col)/sum(col))>=num,num,(sum(col)/sum(col)))",Demand Fulfillment,202
AFT_SI-SS_PSW,Demand Fulfill SI,sum(col)/sum(col),Demand Fulfillment,77
AFT_SI-SS_PSW,Demand Fulfill SS,(sum(col)+(sum(col)))/(sum(col)+sum(col)),Demand Fulfillment,177
AFT_SI-SS_PSW,Last Refreshed (Local),"format(lastdate(col),str)",LastRefresh_Local,76
AFT_SI-SS_PSW,Background color DUE,"if(max(meas)=num,str,if(max(meas)=blank(),blank(),if(max(meas)=num,str,if(max(meas)=num,str,if(max(meas)=num,str,if(max(meas)=num,str,if(max(meas)=num,str,if(max(meas)=num,str,if(max(meas)=num,str,if(max(meas)=num,str,if(max(meas)=num,str,if(max(meas)=num,str,blank()))))))))))))",,455
AFT_SI-SS_PSW,Background color DUE WHSE,"if(max(meas)=num,str,if(max(meas)=blank(),blank(),if(max(meas)=num,str,if(max(meas)=num,str,if(max(meas)=num,str,if(max(meas)=num,str,if(max(meas)=num,str,if(max(meas)=num,str,if(max(meas)=num,str,if(max(meas)=num,str,if(max(meas)=num,str,if(max(meas)=num,str,blank()))))))))))))",,515
AFT_SI-SS_PSW,Background color ETD,"if(max(meas)=num,str,if(max(meas)=blank(),blank(),if(max(meas)=num,str,if(max(meas)=num,str,if(max(meas)=num,str,if(max(meas)=num,str,if(max(meas)=num,str,if(max(meas)=num,str,if(max(meas)=num,str,if(max(meas)=num,str,if(max(meas)=num,str,if(max(meas)=num,str,blank()))))))))))))",,455
AFT_SI-SS_PSW,Background color ETD WHSE,"if(max(meas)=num,str,if(max(meas)=blank(),blank(),if(max(meas)=num,str,if(max(meas)=num,str,if(max(meas)=num,str,if(max(meas)=num,str,if(max(meas)=num,str,if(max(meas)=num,str,if(max(meas)=num,str,if(max(meas)=num,str,if(max(meas)=num,str,if(max(meas)=num,str,blank()))))))))))))",,515
AFT_SI-SS_PSW,SS% DUE,"(calculate(sum(col),col=str)/calculate(sum(col),col=str))",PO,132
AFT_SI-SS_PSW,SS% ETD,"(calculate(sum(col),col=str)/calculate(sum(col),col=str))",PO,132
AFT_SI-SS_PSW,Due Color,"if(meas>selectedvalue(col),str,str)",Percent,73
AFT_SI-SS_PSW,SS% Test,"(calculate(sum(col),col=str)/calculate(sum(col),col=str))",PO,132
Amazon POS Sales and Forecast,90+ Day Inventory,calculate(sum(col)),AMZNInv,38
Amazon POS Sales and Forecast,AFI Order Qty,calculate(sum(col)),AMZNWholesale,46
Amazon POS Sales and Forecast,FC Qty,calculate(sum(col)),AMZNFC,32
Amazon POS Sales and Forecast,Open PO Qty,calculate(sum(col)),AMZNInv,38
Amazon POS Sales and Forecast,POS Qty,calculate(sum(col)),AMZNPOS,34
Amazon POS Sales and Forecast,POS + FC Qty,meas+meas,,20
Amazon POS Sales and Forecast,Sellable On-Hand Inv,calculate(sum(col)),AMZNInv,47
Demand Review,FC Bias - 90d - last 3 Mo,"calculate(meas,col>=-num)",z_FiscalCal,66
Demand Review,FC Bias - 30d - last 3 Mo,"calculate(meas,col>=-num)",z_FiscalCal,66
Demand Review,FC Bias - 90d,"calculate(meas,col=str)",Fcst_Accuracy_Cust_It_Wh,72
Demand Review,orders_qty_cur_req_date_mdc,"calculate(sum(col),col<>str)",OrdHist; z_WarehouseMaster,83
Demand Review,In Stock,"calculate(divide(sum(col),sum(col)),col<>str)",Week_2_ATP; z_ProductDetails,118
Demand Review,In Stock - Last 3 Mo,"calculate(meas,col>=-num)",z_FiscalCal,64
Demand Review,fcst_qty_wrk_rh_adjusted,"calculate(meas,col<>str,col=num)+calculate(sum(col))",FC by Customer Group (in progress of discontinuing); z_FiscalCal; RH_FC,181
Demand Review,Demand Fulfillment (last 3mo),"calculate(meas,col>-num)",z_FiscalCal,71
Demand Review,consumption_rate_wrk,"divide(meas,meas)",,50
Demand Review,consumption_rate_wrk_this_month,"calculate(meas,col=num)",z_FiscalCal,71
Demand Review,FC Bias - 30d,"calculate(meas,col=str)",Fcst_Accuracy_Cust_It_Wh,74
Demand Review,In Stock - last 6 Mo,"calculate(meas,col>=-num)",z_FiscalCal,63
Demand Review,placements_at_risk_cur,"calculate(sum(col),col=num)",Placement_History; z_FiscalCal,94
Demand Review,placements_cur,calculate(sum(col)),Placement_History,55
Demand Review,orders_qty_cur_req_date_last_year (2),"calculate(sum(col),col=-num)",OrdHist; z_FiscalCal,79
Demand Review,orders_qty_cur_req_date_two_yrs_ago,"calculate(sum(col),col=-num)",OrdHist; z_FiscalCal,79
Demand Review,orders_qty_cur_req_date_this_year (2),"calculate(sum(col),col=num,col<num)",OrdHist; z_FiscalCal,118
Demand Review,orders_qty_cur_req_date_future,"calculate(sum(col),col=num,col>=num)",OrdHist; z_FiscalCal,119
Demand Review,On Hand,"calculate(sum(col),col<num)",DemandFulfillment; z_FiscalCal,85
Demand Review,SI,"calculate(sum(col),col>=num)",SupplyPlanDetail; z_FiscalCal,74
Demand Review,OH + SI,meas+meas,,16
Demand Review,orders_net$_cur_req_date_r12,"calculate(sum(col),col<num,col>=-num)",OrdHist; z_FiscalCal,118
Demand Review,Weekly SI,"divide(calculate(sum(col),col>=num),distinctcountnoblank(col))",SupplyPlanDetail; z_FiscalCal,139
Demand Review,fcst_qty_wrk_promo,"calculate(meas,col=col)",Fcst_Snapshots,110
Demand Review,FG Excess Current Week,"calculate(meas,col=num)",z_FiscalCal,65
Demand Review,In Stock This Year,"calculate(meas,col=num)",z_FiscalCal,60
Demand Review,YTD Growth,"divide(meas-meas,meas)",,41
Demand Review,orders_fob$_cur_req_date_all,"calculate(sum(col))+calculate(sum(col),col<>str)",OrdHist; RH_Sales,108
Demand Review,fcst_fob$_logility,"calculate(sum(col),col=col)",Fcst_Snapshots,122
Demand Review,Act+Fcst $,"calculate(meas,col<num)+meas",z_FiscalCal,103
Demand Review,Seas Monthly,meas,,31
Demand Review,Seas Annualized 3 M Hist,"calculate(sum(col),col<num,col>=-num)*num",OrdHist; z_FiscalCal,133
Demand Review,FC 3M,"calculate(meas,col=num,col<num)",z_FiscalCal,112
Demand Review,Seas Annualized 3 M FC,"calculate(meas,col>=num,col<num)",z_FiscalCal,119
Demand Review,fcst_qty_wrk_r12_all,"```calculate(meas,removefilters(col),col=num)```",z_FiscalCal,114
Demand Review,Seas Adj TY,"calculate(meas,col=num)",z_FiscalCal,81
Demand Review,Snapshot,max(col),FC by Customer Group (in progress of discontinuing),72
Demand Review,Seas Annualized,meas*num,,36
Demand Review,orders_plus_fcst_wrk_seas_adj,"calculate(sum(col),col<num,col<>str)+calculate(sum(col),col=col,col>=num)",OrdHist; z_FiscalCal; z_WarehouseMaster; Fcst_Snapshots,298
Demand Review,YTG Growth,"divide(meas-meas,meas)",,40
Demand Review,YTD ACT,"calculate(meas,col=num,col<num)",z_FiscalCal,116
Demand Review,YTD-1 ACT,"calculate(meas,col=-num,col<-num)",z_FiscalCal,119
Demand Review,YTG-1 ACT,"calculate(meas,col=-num,col>=-num)",z_FiscalCal,120
Demand Review,YTG FC,"calculate(meas,col=num,col>=num)",z_FiscalCal,114
Demand Review,Seas Calc,"divide(calculate(sum(col),allexcept(z_fiscalcal,col),col<num,col<num,allexcept('z_productdetails',col)),calculate(sum(col),removefilters(z_fiscalcal),col<num,allexcept(z_productdetails,col)))",OrdHist; z_FiscalCal; z_ProductDetails,413
Demand Review,YTD-2 ACT,"calculate(meas,col=-num,col<-num)",z_FiscalCal,119
Demand Review,YTG-2 ACT,"calculate(meas,col=-num,col>=-num)",z_FiscalCal,120
Demand Review,YTD-1 Growth,"divide(meas-meas,meas)",,43
Demand Review,YTG-1 Growth,"divide(meas-meas,meas)",,43
Demand Review,YTD Qty Growth,meas-meas,,21
Demand Review,YTG Qty Growth,meas-meas,,20
Demand Review,YTG % of Growth by Lifecycle Status Grp,"divide(meas-meas,abs(calculate(meas,removefilters(col))))",z_ProductDetails,116
Demand Review,YTD % of Growth by Lifecycle Status Grp,"divide(meas-meas,abs(calculate(meas,removefilters(col))))",z_ProductDetails,117
Demand Review,FC Bias,"divide(sum(col)-sum(col),sum(col))",Fcst_Accuracy_Cust_It_Wh,143
Demand Review,FC Bias - 90d - last 12 Mo,"calculate(meas,col>=-num)",z_FiscalCal,67
Demand Review,FC - 30d,"calculate(sum(col),col=str)",Fcst_Accuracy_Cust_It_Wh,108
Demand Review,FC Error - 30d,"calculate(sum(col)-sum(col),col=str)",Fcst_Accuracy_Cust_It_Wh,153
Demand Review,FC Error - 90d,"calculate(sum(col)-sum(col),col=str)",Fcst_Accuracy_Cust_It_Wh,153
Demand Review,FC Bias - 90d - Y0,"calculate(meas,removefilters(col),col=num)",z_FiscalCal,113
Demand Review,Demand Fulfillment (last month),"calculate(meas,col=-num)",z_FiscalCal,70
Demand Review,FC Error - 30d M-1,"calculate(sum(col)-sum(col),col=str,col=-num)",Fcst_Accuracy_Cust_It_Wh; z_FiscalCal,192
Demand Review,Exception Flag,"switch(true(),abs(meas)>col,num,and(abs(meas)>col,abs(meas)>col),num,and(abs(meas)>col,abs(meas)>col),num,num)",Parameter_Fcst_Change_Threshold; Bias Threshold; Parameter,380
Demand Review,FC Bias - 30d - LAST MONTH,"calculate(meas,col=-num)",z_FiscalCal,65
Demand Review,FC Bias - 90d - last month,"calculate(meas,col=-num)",z_FiscalCal,65
Demand Review,FC Error - 90d M-1,"calculate(sum(col)-sum(col),col=str,col=-num)",Fcst_Accuracy_Cust_It_Wh; z_FiscalCal,192
Demand Review,In Stock - Last Mo,"calculate(meas,col=-num)",z_FiscalCal,63
Demand Review,orders_qty_cur_req_r12_logility,"calculate(meas,removefilters(col),col=-num)",z_FiscalCal,124
Demand Review,fcst_growth_qty_r12_logility,meas-meas,,63
Demand Review,R12 CP vs PP,meas-meas,,55
Demand Review,LM 90d Abs It Error,"calculate(sumx(summarize(fcst_accuracy_cust_it_wh,col,col,col),varitemforecast=calculate(sum(col))varitemdemand=calculate(sum(col))returnabs(itemforecast-itemdemand)),col=str,col=-num)--calculate(sum(col),col=str,col=-num)",Fcst_Accuracy_Cust_It_Wh; z_FiscalCal; ItLevelErr,581
Demand Review,LM Abs It Err %,"divide(meas,calculate(sum(col),col=-num,col=str))",ItWHAccy; z_FiscalCal,142
Demand Review,Prior 12M Actual Sales $,"calculate(meas,removefilters(col),col=-num)",z_FiscalCal,120
Demand Review,Seas Adj Trend (3M vs 6M),"divide(divide(calculate(sum(col),removefilters(z_fiscalcal),col>=-num,col<num),num)-divide(calculate(sum(col),removefilters(z_fiscalcal),col>=-num,col<num),num),divide(calculate(sum(col),removefilters(z_fiscalcal),col>=-num,col<num),num))",OrdHist; z_FiscalCal,511
Demand Review,Promo $,"calculate(sum(col),col=str)",FC by Customer Group (in progress of discontinuing),149
Demand Review,fcst_growth_qty_this_year,"divide(meas-meas,meas)",,101
Demand Review,90d Lag Fcst,"calculate(sum(col),col=str)",Fcst_Accuracy_Cust_It_Wh,108
Demand Review,90d Lag Act,"calculate(sum(col),col=str)",Fcst_Accuracy_Cust_It_Wh,107
Demand Review,Seas Adj Act,"calculate(sum(col),col<num)",OrdHist; z_FiscalCal,88
Demand Review,fcst_seas_adj_qty_wrk,"calculate(meas,col=col)",Fcst_Snapshots,113
Demand Review,orders_plus_fcst_qty_cur_req_wrk_all,"calculate(meas,col<num)+calculate(meas,col>=num)",z_FiscalCal,149
Demand Review,Trend (3M vs 6M),"divide(divide(calculate(meas,removefilters(z_fiscalcal),col>=-num,col<num),num)-divide(calculate(meas,removefilters(z_fiscalcal),col>=-num,col<num),num),divide(calculate(meas,removefilters(z_fiscalcal),col>=-num,col<num),num))",z_FiscalCal,487
Demand Review,PoP Item vs Series Change,abs(average(col)-abs(meas)),z_ProductDetails,78
Demand Review,Series vs Item x WRk Plan,meas*meas,,66
Demand Review,PoP Item Ratio Change Rank,meas*average(col)*meas*meas,z_ProductDetails,135
Demand Review,Seas 3M Fc vs Act,"divide(meas,meas)-num",,61
Demand Review,Item vs Series Growth,"abs(divide(abs(average(col))-abs(meas),abs(meas)))",z_ProductDetails,118
Demand Review,R12 Act $,"calculate(meas,removefilters(col),col=-num)",z_FiscalCal,120
Demand Review,R12 Fcst + Est Promo $,"calculate(meas,removefilters(col),col>=num,col<num)+meas",z_FiscalCal,173
Demand Review,fcst_growth_FOB$_YoY%_This_Year,"divide(meas-meas,meas)",,53
Demand Review,orders_qty_cur_req_date_r12_previous,"calculate(meas,removefilters(col),col=-num)",z_FiscalCal,119
Demand Review,Act+Fcst Qty,"calculate(meas,col<num)+meas",z_FiscalCal,105
Demand Review,fcst_qty_wrk_logility,"calculate(sum(col),col=col)",Fcst_Snapshots,114
Demand Review,FC Bias - 90d (RH Adj),"divide(meas-calculate(sum(col),col=str)-sum(col),calculate(sum(col),col=str)+sum(col))",Fcst_Accuracy_Cust_It_Wh; RH_Sales,282
Demand Review,90d Fcst (logility-RH_Bedding),"calculate(sum(col),col=str)-calculate(sum(col),col=str,col=str)",Fcst_Accuracy_Cust_It_Wh,276
Demand Review,30d Fcst (logility-RH_Bedding),"calculate(sum(col),col=str)-calculate(sum(col),col=str,col=str)",Fcst_Accuracy_Cust_It_Wh,276
Demand Review,FC Bias - 30d (RH Adj),"divide(meas-calculate(sum(col),col=str)-sum(col),calculate(sum(col),col=str)+sum(col))",Fcst_Accuracy_Cust_It_Wh; RH_Sales,282
Demand Review,30d Fcst (RH non_Bedding CC),"if(selectedvalue(col)=str,calculate(sum(col),removefilters(col,col),col=str,col=str),num)",z_ProductDetails; Fcst_Accuracy_Cust_It_Wh,329
Demand Review,fcst_qty_wrk_rh_drop_ship,"calculate(sum(col),col=num,col=str,removefilters(z_warehousemaster))-calculate(meas,col=str,col=num,col=str,removefilters(z_warehousemaster))",RH_FC; z_FiscalCal; z_ProductDetails; Fcst_Snapshots,335
Demand Review,fcst_growth_qty_r12,"divide(meas-meas,meas)",,105
Demand Review,orders_qty_r12_mdc (use this one),"calculate(meas,removefilters(col),removefilters(col),col=-num)",z_FiscalCal,159
Demand Review,orders_qty_r12_mdc_previous,"calculate(meas,removefilters(col),col=-num)",z_FiscalCal,119
Demand Review,orders_fob$_cur_req_date_mdc,"```calculate(sum(col),col<>str)```",OrdHist; z_WarehouseMaster,87
Demand Review,R12 Act $ (MDC),"calculate(meas,removefilters(col),col=-num)",z_FiscalCal,120
Demand Review,fcst_qty_prior_r12_mdc,"calculate(meas+meas,col=num)",z_FiscalCal,98
Demand Review,R12 $ YoY% (MDC),"divide(meas-meas,meas)",,71
Demand Review,fcst_qty_prior_r12_all,meas+meas+meas+meas,,105
Demand Review,fcst_qty_prior_rhDS,"calculate(sum(col),removefilters(col),col=num)-calculate(meas,col=str,removefilters(col),col=num)",RH_FC (Prior_Plan); z_FiscalCal; Fcst_Snapshots,274
Demand Review,fcst_change_%_r12_wrk_v_prior_all,"divide(meas-meas,meas)",,81
Demand Review,fcst_fob$_all,meas+sum(col)+sum(col),Fcst_Average_Promo; Fcst_Container,95
Demand Review,R12 Fcst $ (all),"calculate(meas,removefilters(col),col>=num,col<num)+calculate(meas,removefilters(col))+calculate(sum(col),removefilters(col),col>=num,col<num)",z_FiscalCal; Fcst_Container,393
Demand Review,R12 Fcst (Other),meas+meas,,50
Demand Review,FC Bias - 2wk - LAST MONTH,"calculate(meas,col=-num)",z_FiscalCal,65
Demand Review,FC Bias - 2wk,"calculate(meas,col=str)",Fcst_Accuracy_Cust_It_Wh,73
Demand Review,FC Error - 2wk,"calculate(sum(col)-sum(col),col=str)",Fcst_Accuracy_Cust_It_Wh,152
Demand Review,FC Error - 2wk - LAST MONTH,"calculate(sum(col)-sum(col),col=str,col=-num)",Fcst_Accuracy_Cust_It_Wh; z_FiscalCal,191
Demand Review,FC - 90d - Last Month,"calculate(sum(col),col=str,col=-num)",Fcst_Accuracy_Cust_It_Wh; z_FiscalCal,147
Demand Review,FC - 90d - Last Month Act,"calculate(sum(col),col=str,col=-num)",Fcst_Accuracy_Cust_It_Wh; z_FiscalCal,146
Demand Review,3M Average,"divide(calculate(meas,removefilters(z_fiscalcal),col>=-num,col<num),num)",z_FiscalCal,159
Demand Review,6M Average,"divide(calculate(meas,removefilters(z_fiscalcal),col>=-num,col<num),num)",z_FiscalCal,159
Demand Review,fcst_avg_qty_wrk_month9_through_month12_logility_nonPromo,"divide(calculate(meas,col>=num,col<num),num)",z_FiscalCal,135
Demand Review,6M Avg Forecast,"divide(calculate(sum(col),col<>str,col<num)+calculate(sum(col),col<num),num)",FC by Customer Group (in progress of discontinuing); z_FiscalCal; RH_FC,274
Demand Review,Working vs Current Forecast,meas-col,Fcst_Current_Published,74
Demand Review,Working vs Current Forecast % Change,"divide(meas-col,col)",Fcst_Current_Published,129
Demand Review,consumption_target_rate,"divide(meas,sum(col))",TargetConsumption,69
Demand Review,consumption_target_qty_wrk,```sum(col)```,TargetConsumption,52
Demand Review,consumption_gap_qty_wrk,"meas-meas--(switch(true(),meas>meas,meas-meas,meas<meas,meas-meas,num))",,286
Demand Review,Abs Plan Change,abs(meas-meas),,65
Demand Review,Baseline Plan Change,meas-meas,,77
Demand Review,Baseline Plan Change %,"divide(meas,meas)",,70
Demand Review,fcst_change_qty_r12_wrk_v_prior_logility,```meas-meas```,,67
Demand Review,fcst_change_%_r12_wrk_v_prior_logility,"divide(meas,meas)",,80
Demand Review,fcst_qty_prior_logility,"calculate(sum(col),removefilters('cycle_dates'),removefilters(col),col=col)+switch(true(),max(col)=date(num,num,num),calculate(meas,col=str,col=str,col=str),num)",Fcst_Snapshots; z_FiscalCal; z_ProductDetails; z_CustomerMaster,420
Demand Review,fcst_qty_prior_r12_logility_nonPromo,"calculate(sum(col),removefilters('cycle_dates'),col=col,col=num)",Fcst_Snapshots; z_FiscalCal,176
Demand Review,fcst_qty_wrk_r12_logility,"calculate(meas,removefilters(col),col=num)",z_FiscalCal,111
Demand Review,fcst_fob$_wrk_r12_logility,"calculate(sum(col),removefilters('cycle_dates'),col=col)",Fcst_Snapshots,153
Demand Review,fcst_qty_wrk_r12_logility_nonPromo,"calculate(meas,removefilters(col),col=num)",z_FiscalCal,119
Demand Review,fcst_qty_wrk_loglity_nonPromo,"calculate(sum(col),removefilters('cycle_dates'),col=col,removefilters(col),col=num)",Fcst_Snapshots; z_FiscalCal,226
Demand Review,fcst_qty_logility,sum(col),Fcst_Snapshots,31
Demand Review,consumption_gap_rate_wrk,"(switch(true(),meas=num,-num,meas>meas,meas-meas,meas<meas,meas-meas,num))",,315
Demand Review,Chronic Bias Flag,"switch(true(),min(col)=str,str,and(meas>num,and(meas>.num,meas>.num)),str,and(meas<-num,and(meas<-.num,meas<-.num)),str,str)",InvSegGlobalCC,351
Demand Review,orders_qty_cur_req_date_nonRH,sum(col),OrdHist,28
Demand Review,orders_qty_cur_req_date_all,"sum(col)+calculate(sum(col),removefilters(z_warehousemaster))+calculate(sum(col),removefilters(z_warehousemaster))",OrdHist; RH_DropShip_Sales_2024; RH_Sales,174
Demand Review,orders_qty_cur_req_date_this_month_all,"calculate(meas,removefilters(z_fiscalcal),col=num)",z_FiscalCal,105
Demand Review,fcst_qty_prior_r12_logility,"calculate(meas,removefilters(col),col=num)",z_FiscalCal,116
Demand Review,fcst_qty_90d_logility,"calculate(sum(col),removefilters('cycle_dates'),removefilters(col),col=col)",Fcst_Snapshots; z_FiscalCal,177
Demand Review,fcst_qty_90d_r12_logility,"calculate(meas,removefilters(col),col=num)",z_FiscalCal,114
Demand Review,label_prior_plan_date,str&max(col),Fcst_Snapshots,54
Demand Review,label_90d_plan_date,str&max(col),Fcst_Snapshots,55
Demand Review,fcst_change_qty_r12_wrk_v_90d_logility,```meas-meas```,,65
Demand Review,fcst_change_%_r12_wrk_v_90d_logility,"divide(meas,meas)",,76
Demand Review,orders_qty_cur_req_date_this_month_mdc,"calculate(meas,col=num)",z_FiscalCal,80
Demand Review,fcst_qty_wrk_seas_adjusted,sum(col),Fcst_Snapshots,40
Demand Review,fcst_qty_logility_nonPromo,sum(col),Fcst_Snapshots,35
Demand Review,fcst_qty_logility_Promo,sum(col),Fcst_Snapshots,31
Demand Review,fcst_qty_wrk_all,meas+meas+meas+meas,,101
Demand Review,orders_qty_cur_req_date_r12_logility,"calculate(meas,removefilters(col),col=-num)",z_FiscalCal,124
Demand Review,orders_qty_cur_req_date_logility,"calculate(sum(col),col<>str)",OrdHist; z_WarehouseMaster,83
